Indicator,Partner Name,Reporter Name,Trade Flow,Year,Export Partner Share
Export Partner Share (%),Vanuatu,Australia,Export,2019,0.022 
Export Partner Share (%),Cote d'Ivoire,Australia,Export,2019,0.020 
Export Partner Share (%),Finland,Australia,Export,2019,0.020 
Export Partner Share (%),Kenya,Australia,Export,2019,0.019 
Export Partner Share (%),Hungary,Australia,Export,2019,0.016 
Export Partner Share (%),Macao,Australia,Export,2019,0.016 
Export Partner Share (%),French Polynesia,Australia,Export,2019,0.015 
Export Partner Share (%),"Iran, Islamic Rep.",Australia,Export,2019,0.015 
Export Partner Share (%),Maldives,Australia,Export,2019,0.015 
Export Partner Share (%),Unspecified,Australia,Export,2019,0.015 
Export Partner Share (%),Samoa,Australia,Export,2019,0.014 
Export Partner Share (%),Brunei,Australia,Export,2019,0.013 
Export Partner Share (%),Tanzania,Australia,Export,2019,0.013 
Export Partner Share (%),Mongolia,Australia,Export,2019,0.012 
Export Partner Share (%),Nauru,Australia,Export,2019,0.012 
Export Partner Share (%),Lebanon,Australia,Export,2019,0.011 
Export Partner Share (%),Nepal,Australia,Export,2019,0.010 
Export Partner Share (%),Colombia,Australia,Export,2019,0.010 
Export Partner Share (%),Trinidad and Tobago,Australia,Export,2019,0.009 
Export Partner Share (%),Greece,Australia,Export,2019,0.009 
Export Partner Share (%),Christmas Island,Australia,Export,2019,0.009 
Export Partner Share (%),Romania,Australia,Export,2019,0.008 
Export Partner Share (%),Jamaica,Australia,Export,2019,0.008 
Export Partner Share (%),East Timor,Australia,Export,2019,0.008 
Export Partner Share (%),Austria,Australia,Export,2019,0.008 
Export Partner Share (%),Lao PDR,Australia,Export,2019,0.007 
Export Partner Share (%),Senegal,Australia,Export,2019,0.007 
Export Partner Share (%),Madagascar,Australia,Export,2019,0.007 
Export Partner Share (%),Latvia,Australia,Export,2019,0.007 
Export Partner Share (%),Uruguay,Australia,Export,2019,0.007 
Export Partner Share (%),Bulgaria,Australia,Export,2019,0.007 
Export Partner Share (%),Iraq,Australia,Export,2019,0.007 
Export Partner Share (%),Kazakhstan,Australia,Export,2019,0.007 
Export Partner Share (%),Luxembourg,Australia,Export,2019,0.005 
Export Partner Share (%),Tonga,Australia,Export,2019,0.005 
Export Partner Share (%),Kiribati,Australia,Export,2019,0.005 
Export Partner Share (%),Botswana,Australia,Export,2019,0.005 
Export Partner Share (%),Suriname,Australia,Export,2019,0.005 
Export Partner Share (%),Morocco,Australia,Export,2019,0.005 
Export Partner Share (%),Portugal,Australia,Export,2019,0.004 
Export Partner Share (%),Dominican Republic,Australia,Export,2019,0.004 
Export Partner Share (%),Burkina Faso,Australia,Export,2019,0.004 
Export Partner Share (%),Ecuador,Australia,Export,2019,0.003 
Export Partner Share (%),Estonia,Australia,Export,2019,0.003 
Export Partner Share (%),Norfolk Island,Australia,Export,2019,0.003 
Export Partner Share (%),Zambia,Australia,Export,2019,0.003 
Export Partner Share (%),American Samoa,Australia,Export,2019,0.003 
Export Partner Share (%),Cook Islands,Australia,Export,2019,0.003 
Export Partner Share (%),Namibia,Australia,Export,2019,0.003 
Export Partner Share (%),Guam,Australia,Export,2019,0.003 
Export Partner Share (%),Sudan,Australia,Export,2019,0.003 
Export Partner Share (%),Seychelles,Australia,Export,2019,0.003 
Export Partner Share (%),El Salvador,Australia,Export,2019,0.002 
Export Partner Share (%),Mauritania,Australia,Export,2019,0.002 
Export Partner Share (%),Cocos (Keeling) Islands,Australia,Export,2019,0.002 
Export Partner Share (%),Cyprus,Australia,Export,2019,0.002 
Export Partner Share (%),Mali,Australia,Export,2019,0.002 
Export Partner Share (%),Lithuania,Australia,Export,2019,0.002 
Export Partner Share (%),Togo,Australia,Export,2019,0.002 
Export Partner Share (%),Venezuela,Australia,Export,2019,0.002 
Export Partner Share (%),Malta,Australia,Export,2019,0.002 
Export Partner Share (%),Antarctica,Australia,Export,2019,0.002 
Export Partner Share (%),Guyana,Australia,Export,2019,0.002 
Export Partner Share (%),Eritrea,Australia,Export,2019,0.001 
Export Partner Share (%),Guinea,Australia,Export,2019,0.001 
Export Partner Share (%),Kyrgyz Republic,Australia,Export,2019,0.001 
Export Partner Share (%),Marshall Islands,Australia,Export,2019,0.001 
Export Partner Share (%),"Micronesia, Fed. Sts.",Australia,Export,2019,0.001 
Export Partner Share (%),Angola,Australia,Export,2019,0.001 
Export Partner Share (%),Belarus,Australia,Export,2019,0.001 
Export Partner Share (%),Guatemala,Australia,Export,2019,0.001 
Export Partner Share (%),Algeria,Australia,Export,2019,0.001 
Export Partner Share (%),Slovak Republic,Australia,Export,2019,0.001 
Export Partner Share (%),Wallis and Futura Isl.,Australia,Export,2019,0.001 
Export Partner Share (%),"Bahamas, The",Australia,Export,2019,0.001 
Export Partner Share (%),Libya,Australia,Export,2019,0.001 
Export Partner Share (%),Tuvalu,Australia,Export,2019,0.001 
Export Partner Share (%),"Congo, Dem. Rep.",Australia,Export,2019,0.001 
Export Partner Share (%),Costa Rica,Australia,Export,2019,0.001 
Export Partner Share (%),Croatia,Australia,Export,2019,0.001 
Export Partner Share (%),Barbados,Australia,Export,2019,0.001 
Export Partner Share (%),Zimbabwe,Australia,Export,2019,0.001 
Export Partner Share (%),Honduras,Australia,Export,2019,0.001 
Export Partner Share (%),St. Lucia,Australia,Export,2019,0.001 
Export Partner Share (%),Tunisia,Australia,Export,2019,0.001 
Export Partner Share (%),Uganda,Australia,Export,2019,0.001 
Export Partner Share (%),Albania,Australia,Export,2019,0.001 
Export Partner Share (%),Bermuda,Australia,Export,2019,0.001 
Export Partner Share (%),Djibouti,Australia,Export,2019,0.001 
Export Partner Share (%),Ethiopia(excludes Eritrea),Australia,Export,2019,0.001 
Export Partner Share (%),Gabon,Australia,Export,2019,0.001 
Export Partner Share (%),North Macedonia,Australia,Export,2019,0.001 
Export Partner Share (%),Northern Mariana Islands,Australia,Export,2019,0.001 
Export Partner Share (%),Sierra Leone,Australia,Export,2019,0.001 
Export Partner Share (%),Azerbaijan,Australia,Export,2019,0.000 
Export Partner Share (%),Palau,Australia,Export,2019,0.000 
Export Partner Share (%),"Serbia, FR(Serbia/Montenegro)",Australia,Export,2019,0.000 
Export Partner Share (%),Somalia,Australia,Export,2019,0.000 
Export Partner Share (%),St. Vincent and the Grenadines,Australia,Export,2019,0.000 
Export Partner Share (%),Armenia,Australia,Export,2019,0.000 
Export Partner Share (%),Cameroon,Australia,Export,2019,0.000 
Export Partner Share (%),Cayman Islands,Australia,Export,2019,0.000 
Export Partner Share (%),Paraguay,Australia,Export,2019,0.000 
Export Partner Share (%),St. Kitts and Nevis,Australia,Export,2019,0.000 
Export Partner Share (%),Syrian Arab Republic,Australia,Export,2019,0.000 
Export Partner Share (%),Afghanistan,Australia,Export,2019,0.000 
Export Partner Share (%),Antigua and Barbuda,Australia,Export,2019,0.000 
Export Partner Share (%),Benin,Australia,Export,2019,0.000 
Export Partner Share (%),Bolivia,Australia,Export,2019,0.000 
Export Partner Share (%),Bosnia and Herzegovina,Australia,Export,2019,0.000 
Export Partner Share (%),Cape Verde,Australia,Export,2019,0.000 
Export Partner Share (%),Central African Republic,Australia,Export,2019,0.000 
Export Partner Share (%),Cuba,Australia,Export,2019,0.000 
Export Partner Share (%),Liberia,Australia,Export,2019,0.000 
Export Partner Share (%),Nicaragua,Australia,Export,2019,0.000 
Export Partner Share (%),Niue,Australia,Export,2019,0.000 
Export Partner Share (%),Saint Helena,Australia,Export,2019,0.000 
Export Partner Share (%),Uzbekistan,Australia,Export,2019,0.000 
Export Partner Share (%),Belize,Australia,Export,2019,0.000 
Export Partner Share (%),Bhutan,Australia,Export,2019,0.000 
Export Partner Share (%),"Congo, Rep.",Australia,Export,2019,0.000 
Export Partner Share (%),Cura?ao,Australia,Export,2019,0.000 
Export Partner Share (%),Dominica,Australia,Export,2019,0.000 
Export Partner Share (%),Equatorial Guinea,Australia,Export,2019,0.000 
Export Partner Share (%),Falkland Island,Australia,Export,2019,0.000 
Export Partner Share (%),Grenada,Australia,Export,2019,0.000 
Export Partner Share (%),Haiti,Australia,Export,2019,0.000 
Export Partner Share (%),Malawi,Australia,Export,2019,0.000 
Export Partner Share (%),Pitcairn,Australia,Export,2019,0.000 
Export Partner Share (%),Rwanda,Australia,Export,2019,0.000 
Export Partner Share (%),British Virgin Islands,Australia,Export,2019,0.000 
Export Partner Share (%),Burundi,Australia,Export,2019,0.000 
Export Partner Share (%),Chad,Australia,Export,2019,0.000 
Export Partner Share (%),Eswatini,Australia,Export,2019,0.000 
Export Partner Share (%),"Gambia, The",Australia,Export,2019,0.000 
Export Partner Share (%),Gibraltar,Australia,Export,2019,0.000 
Export Partner Share (%),Guinea-Bissau,Australia,Export,2019,0.000 
Export Partner Share (%),Lesotho,Australia,Export,2019,0.000 
Export Partner Share (%),Moldova,Australia,Export,2019,0.000 
Export Partner Share (%),Niger,Australia,Export,2019,0.000 
Export Partner Share (%),Saint Pierre and Miquelon,Australia,Export,2019,0.000 
Export Partner Share (%),South Sudan,Australia,Export,2019,0.000 
Export Partner Share (%),Tajikistan,Australia,Export,2019,0.000 
Export Partner Share (%),Turkmenistan,Australia,Export,2019,0.000 
Export Partner Share (%),Turks and Caicos Isl.,Australia,Export,2019,0.000 
Export Partner Share (%),Anguila,Australia,Export,2019,0.000 
Export Partner Share (%),British Indian Ocean Ter.,Australia,Export,2019,0.000 
Export Partner Share (%),Comoros,Australia,Export,2019,0.000 
Export Partner Share (%),Fm Sudan,Australia,Export,2019,0.000 
Export Partner Share (%),Fr. So. Ant. Tr,Australia,Export,2019,0.000 
Export Partner Share (%),"Korea, Dem. Rep.",Australia,Export,2019,0.000 
Export Partner Share (%),Montenegro,Australia,Export,2019,0.000 
Export Partner Share (%),Montserrat,Australia,Export,2019,0.000 
Export Partner Share (%),Netherlands Antilles,Australia,Export,2019,0.000 
Export Partner Share (%),Occ.Pal.Terr,Australia,Export,2019,0.000 
Export Partner Share (%),Sao Tome and Principe,Australia,Export,2019,0.000 
Export Partner Share (%),Special Categories,Australia,Export,2019,0.000 
Export Partner Share (%),Tokelau,Australia,Export,2019,0.000 
Export Partner Share (%),United States Minor Outlying I,Australia,Export,2019,0.000 
Export Partner Share (%),Western Sahara,Australia,Export,2019,0.000 
